Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Monday,Rosh Hashanah 1-2,RH I,
2,2 Tishrei,Tuesday,Rosh Hashanah 3-4,RH II,
3,3 Tishrei,Wednesday,Beitzah 1-2,,
4,4 Tishrei,Thursday,Beitzah 3-4,,
5,5 Tishrei,Friday,Beitzah 5,,
6,6 Tishrei,Saturday,,Vayeilech,
7,7 Tishrei,Sunday,Yoma 1-3,,
8,8 Tishrei,Monday,Yoma 4-6,,
9,9 Tishrei,Tuesday,,Erev Yom Kippur,
10,10 Tishrei,Wednesday,Yoma 7-8,YK,
11,11 Tishrei,Thursday,Hagigah 1-2,,
12,12 Tishrei,Friday,Hagigah 3,,
13,13 Tishrei,Saturday,,Ha'azinu,
14,14 Tishrei,Sunday,,Erev Sukkot,
15,15 Tishrei,Monday,Sukkah 1-2,Sukkot I,
16,16 Tishrei,Tuesday,Sukkah 3-4,Sukkot II,
17,17 Tishrei,Wednesday,Sukkah 5,Sukkot III,
18,18 Tishrei,Thursday,Moed Katan 1-2,Sukkot IV,
19,19 Tishrei,Friday,Moed Katan 3,Sukkot V,
20,20 Tishrei,Saturday,,"Sukkot VI (CH""M)",
21,21 Tishrei,Sunday,,Sukkot VII/Erev SA,
22,22 Tishrei,Monday,,SA,
23,23 Tishrei,Tuesday,,ST,
24,24 Tishrei,Wednesday,Taanit 1-2,,
25,25 Tishrei,Thursday,Taanit 3-4,,
26,26 Tishrei,Friday,,,
27,27 Tishrei,Saturday,,Bereshit,
28,28 Tishrei,Sunday,Shabbat 1-2,,
29,29 Tishrei,Monday,Shabbat 3-4,,
30,30 Tishrei,Tuesday,Shabbat 5-6,,
31,1 Marheshvan,Wednesday,Shabbat 7-8,,
32,2 Marheshvan,Thursday,Shabbat 9-10,,
33,3 Marheshvan,Friday,Shabbat 11-12,,
34,4 Marheshvan,Saturday,,Noah,
35,5 Marheshvan,Sunday,Shabbat 13-14,,
36,6 Marheshvan,Monday,Shabbat 15-16,,
37,7 Marheshvan,Tuesday,Shabbat 17-18,,
38,8 Marheshvan,Wednesday,Shabbat 19-20,,
39,9 Marheshvan,Thursday,Shabbat 21-22,,
40,10 Marheshvan,Friday,,,
41,11 Marheshvan,Saturday,,Lekh-Lekha,
42,12 Marheshvan,Sunday,Shabbat 23-24,,
43,13 Marheshvan,Monday,Eruvin 1-2,,
44,14 Marheshvan,Tuesday,Eruvin 3-4,,
45,15 Marheshvan,Wednesday,Eruvin 5-6,,
46,16 Marheshvan,Thursday,Eruvin 7-8,,
47,17 Marheshvan,Friday,Eruvin 9-10,,
48,18 Marheshvan,Saturday,,Vayera,
49,19 Marheshvan,Sunday,Berakhot 1-2,,
50,20 Marheshvan,Monday,Berakhot 3-4,,
51,21 Marheshvan,Tuesday,Berakhot 5-6,,
52,22 Marheshvan,Wednesday,Berakhot 7-8,,
53,23 Marheshvan,Thursday,Berakhot 9,,
54,24 Marheshvan,Friday,,,
55,25 Marheshvan,Saturday,,Chayei Sarah,
56,26 Marheshvan,Sunday,Peah 1-2,,
57,27 Marheshvan,Monday,Peah 3-4,,
58,28 Marheshvan,Tuesday,Peah 5-6,,
59,29 Marheshvan,Wednesday,Peah 7-8,,
60,30 Marheshvan,Thursday,Demai 1-2,,
61,1 Kislev,Friday,Demai 3-4,,
62,2 Kislev,Saturday,,Toldot,
63,3 Kislev,Sunday,Demai 5-6,,
64,4 Kislev,Monday,Demai 7,,
65,5 Kislev,Tuesday,Kilayim 1-2,,
66,6 Kislev,Wednesday,Kilayim 3-4,,
67,7 Kislev,Thursday,Kilayim 5-6,,
68,8 Kislev,Friday,,,
69,9 Kislev,Saturday,,Vayetzei,
70,10 Kislev,Sunday,Kilayim 7-8,,
71,11 Kislev,Monday,Kilayim 9,,
72,12 Kislev,Tuesday,Sheviit 1-2,,
73,13 Kislev,Wednesday,Sheviit 3-4,,
74,14 Kislev,Thursday,Sheviit 5-6,,
75,15 Kislev,Friday,Sheviit 7-8,,
76,16 Kislev,Saturday,,Vayishlach,
77,17 Kislev,Sunday,Sheviit 9-10,,
78,18 Kislev,Monday,Terumot 1-2,,
79,19 Kislev,Tuesday,Terumot 3-4,,
80,20 Kislev,Wednesday,Terumot 5-6,,
81,21 Kislev,Thursday,Terumot 7-8,,
82,22 Kislev,Friday,,,
83,23 Kislev,Saturday,,Vayeshev,
84,24 Kislev,Sunday,Terumot 9-10,,
85,25 Kislev,Monday,Terumot 11,,
86,26 Kislev,Tuesday,Ma'aserot 1-2,,
87,27 Kislev,Wednesday,Ma'aserot 3-4,,
88,28 Kislev,Thursday,Ma'aserot 5,,
89,29 Kislev,Friday,Ma'aser Sheni 1-2,,
90,30 Kislev,Saturday,,Miketz,
91,1 Tevet,Sunday,Ma'aser Sheni 3-4,,
92,2 Tevet,Monday,Ma'aser Sheni 5,,
93,3 Tevet,Tuesday,Hallah 1-2,,
94,4 Tevet,Wednesday,Hallah 3-4,,
95,5 Tevet,Thursday,Orlah 1-2,,
96,6 Tevet,Friday,,,
97,7 Tevet,Saturday,,Vayigash,
98,8 Tevet,Sunday,Orlah 3,,
99,9 Tevet,Monday,Keilim 1-2,,
100,10 Tevet,Tuesday,Keilim 3-4,,
101,11 Tevet,Wednesday,Keilim 5-6,,
102,12 Tevet,Thursday,Keilim 7-8,,
103,13 Tevet,Friday,Keilim 9-10,,
104,14 Tevet,Saturday,,Vayechi,
105,15 Tevet,Sunday,Keilim 11-12,,
106,16 Tevet,Monday,Keilim 13-14,,
107,17 Tevet,Tuesday,Keilim 15-16,,
108,18 Tevet,Wednesday,Keilim 17-18,,
109,19 Tevet,Thursday,Keilim 19-20,,
110,20 Tevet,Friday,,,
111,21 Tevet,Saturday,,Shemot,
112,22 Tevet,Sunday,Keilim 21-22,,
113,23 Tevet,Monday,Keilim 23-24,,
114,24 Tevet,Tuesday,Keilim 25-26,,
115,25 Tevet,Wednesday,Keilim 27-28,,
116,26 Tevet,Thursday,Keilim 29-30,,
117,27 Tevet,Friday,Aholot 1-2,,
118,28 Tevet,Saturday,,Vaera,
119,29 Tevet,Sunday,Aholot 3-4,,
120,1 Shevat,Monday,Aholot 5-6,,
121,2 Shevat,Tuesday,Aholot 7-8,,
122,3 Shevat,Wednesday,Aholot 9-10,,
123,4 Shevat,Thursday,Aholot 11-12,,
124,5 Shevat,Friday,,,
125,6 Shevat,Saturday,,Bo,
126,7 Shevat,Sunday,Aholot 13-14,,
127,8 Shevat,Monday,Aholot 15-16,,
128,9 Shevat,Tuesday,Aholot 17-18,,
129,10 Shevat,Wednesday,Tahorot 1-2,,
130,11 Shevat,Thursday,Tahorot 3-4,,
131,12 Shevat,Friday,Tahorot 5-6,,
132,13 Shevat,Saturday,,Beshalach,
133,14 Shevat,Sunday,Tahorot 7-8,,
134,15 Shevat,Monday,Tahorot 9-10,,
135,16 Shevat,Tuesday,Mikvaot 1-2,,
136,17 Shevat,Wednesday,Mikvaot 3-4,,
137,18 Shevat,Thursday,Mikvaot 5-6,,
138,19 Shevat,Friday,,,
139,20 Shevat,Saturday,,Yitro,
140,21 Shevat,Sunday,Mikvaot 7-8,,
141,22 Shevat,Monday,Mikvaot 9-10,,
142,23 Shevat,Tuesday,Bava Kama 1-2,,
143,24 Shevat,Wednesday,Bava Kama 3-4,,
144,25 Shevat,Thursday,Bava Kama 5-6,,
145,26 Shevat,Friday,Bava Kama 7-8,,
146,27 Shevat,Saturday,,Mishpatim,
147,28 Shevat,Sunday,Bava Kama 9-10,,
148,29 Shevat,Monday,Bava Metzia 1-2,,
149,30 Shevat,Tuesday,Bava Metzia 3-4,,
150,1 Adar,Wednesday,Bava Metzia 5-6,,
151,2 Adar,Thursday,Bava Metzia 7-8,,
152,3 Adar,Friday,,,
153,4 Adar,Saturday,,Terumah,
154,5 Adar,Sunday,Bava Metzia 9-10,,
155,6 Adar,Monday,Shekalim 1-2,,
156,7 Adar,Tuesday,Shekalim 3-4,,
157,8 Adar,Wednesday,Shekalim 5-6,,
158,9 Adar,Thursday,Shekalim 7-8,,
159,10 Adar,Friday,Megillah 1-2,,
160,11 Adar,Saturday,,Tetzaveh,
161,12 Adar,Sunday,Megillah 3-4,,
162,13 Adar,Monday,Bava Batra 1-2,Ta'anit Esther,
163,14 Adar,Tuesday,Bava Batra 3-4,Purim,
164,15 Adar,Wednesday,Bava Batra 5-6,,
165,16 Adar,Thursday,Bava Batra 7-8,,
166,17 Adar,Friday,,,
167,18 Adar,Saturday,,Ki Tisa,
168,19 Adar,Sunday,Bava Batra 9-10,,
169,20 Adar,Monday,Middot 1-2,,
170,21 Adar,Tuesday,Middot 3-4,,
171,22 Adar,Wednesday,Middot 5,,
172,23 Adar,Thursday,Zevahim 1-2,,
173,24 Adar,Friday,,,
174,25 Adar,Saturday,,Vayakhel-Pekudei,
175,26 Adar,Sunday,Zevahim 3-4,,
176,27 Adar,Monday,Zevahim 5-6,,
177,28 Adar,Tuesday,Zevahim 7-8,,
178,29 Adar,Wednesday,Zevahim 9-10,,
179,1 Nisan,Thursday,Zevahim 11-12,,
180,2 Nisan,Friday,Zevahim 13-14,,
181,3 Nisan,Saturday,,Vayikra,
182,4 Nisan,Sunday,,,
183,5 Nisan,Monday,,,
184,6 Nisan,Tuesday,,,
185,7 Nisan,Wednesday,Pesahim 1-2,,
186,8 Nisan,Thursday,Pesahim 3-4,,
187,9 Nisan,Friday,,,
188,10 Nisan,Saturday,,Tzav,
189,11 Nisan,Sunday,Pesahim 5-6,,
190,12 Nisan,Monday,Pesahim 7-8,,
191,13 Nisan,Tuesday,Pesahim 9-10,,
192,14 Nisan,Wednesday,,,
193,15 Nisan,Thursday,Menahot 1-2,Pesah I,
194,16 Nisan,Friday,Menahot 3-4,Pesah II,
195,17 Nisan,Saturday,,"Pesah III (CH""M)",
196,18 Nisan,Sunday,Menahot 5-6,Pesah IV,
197,19 Nisan,Monday,Menahot 7-8,Pesah V,
198,20 Nisan,Tuesday,Menahot 9-10,Pesah VI,
199,21 Nisan,Wednesday,Menahot 11-12,Pesah VII,
200,22 Nisan,Thursday,Menahot 13,Pesah VIII,
201,23 Nisan,Friday,Negaim 1-2,,
202,24 Nisan,Saturday,,Shmini,
203,25 Nisan,Sunday,Negaim 3-4,,
204,26 Nisan,Monday,Negaim 5-6,,
205,27 Nisan,Tuesday,Negaim 7-8,,
206,28 Nisan,Wednesday,Negaim 9-10,,
207,29 Nisan,Thursday,Negaim 11-12,,
208,30 Nisan,Friday,Negaim 13-14,,
209,1 Iyar,Saturday,,Tazria-Metzora,
210,2 Iyar,Sunday,Hullin 1-2,,
211,3 Iyar,Monday,Hullin 3-4,,
212,4 Iyar,Tuesday,Hullin 5-6,,
213,5 Iyar,Wednesday,Hullin 7-8,,
214,6 Iyar,Thursday,Hullin 9-10,,
215,7 Iyar,Friday,Hullin 11-12,,
216,8 Iyar,Saturday,,Achrei Mot-Kedoshim,
217,9 Iyar,Sunday,Yevamot 1-2,,
218,10 Iyar,Monday,Yevamot 3-4,,
219,11 Iyar,Tuesday,Yevamot 5-6,,
220,12 Iyar,Wednesday,Yevamot 7-8,,
221,13 Iyar,Thursday,Yevamot 9-10,,
222,14 Iyar,Friday,Yevamot 11-12,,
223,15 Iyar,Saturday,,Emor,
224,16 Iyar,Sunday,Yevamot 13-14,,
225,17 Iyar,Monday,Yevamot 15-16,,
226,18 Iyar,Tuesday,Arakhin 1-2,,
227,19 Iyar,Wednesday,Arakhin 3-4,,
228,20 Iyar,Thursday,Arakhin 5-6,,
229,21 Iyar,Friday,Arakhin 7-8,,
230,22 Iyar,Saturday,,Behar-Bechukotai,
231,23 Iyar,Sunday,Arakhin 9,,
232,24 Iyar,Monday,Temurah 1-2,,
233,25 Iyar,Tuesday,Temurah 3-4,,
234,26 Iyar,Wednesday,Temurah 5-6,,
235,27 Iyar,Thursday,Temurah 7,,
236,28 Iyar,Friday,Bekhorot 1-2,,
237,29 Iyar,Saturday,,Bemidbar,
238,1 Sivan,Sunday,Bekhorot 3-4,,
239,2 Sivan,Monday,Bekhorot 5-6,,
240,3 Sivan,Tuesday,Bekhorot 7-8,,
241,4 Sivan,Wednesday,Bekhorot 9,,
242,5 Sivan,Thursday,,Erev Shavuot,
243,6 Sivan,Friday,Bikkurim 1-3,Shavuot I,
244,7 Sivan,Saturday,,Shavuot II,
245,8 Sivan,Sunday,Nazir 1-2,,
246,9 Sivan,Monday,Nazir 3-4,,
247,10 Sivan,Tuesday,Nazir 5-6,,
248,11 Sivan,Wednesday,Nazir 7-8,,
249,12 Sivan,Thursday,Nazir 9,,
250,13 Sivan,Friday,,,
251,14 Sivan,Saturday,,Naso,
252,15 Sivan,Sunday,Sotah 1-2,,
253,16 Sivan,Monday,Sotah 3-4,,
254,17 Sivan,Tuesday,Sotah 5-6,,
255,18 Sivan,Wednesday,Sotah 7-8,,
256,19 Sivan,Thursday,Sotah 9,,
257,20 Sivan,Friday,,,
258,21 Sivan,Saturday,,Beha'alotcha,
259,22 Sivan,Sunday,Me'ilah 1-2,,
260,23 Sivan,Monday,Me'ilah 3-4,,
261,24 Sivan,Tuesday,Me'ilah 5-6,,
262,25 Sivan,Wednesday,Kereitot 1-2,,
263,26 Sivan,Thursday,Kereitot 3-4,,
264,27 Sivan,Friday,,,
265,28 Sivan,Saturday,,Sh'lach,
266,29 Sivan,Sunday,Kereitot 5-6,,
267,30 Sivan,Monday,Horayot 1-2,,
268,1 Tammuz,Tuesday,Horayot 3,,
269,2 Tammuz,Wednesday,Avot 1-2,,
270,3 Tammuz,Thursday,Avot 3-4,,
271,4 Tammuz,Friday,,,
272,5 Tammuz,Saturday,,Korach,
273,6 Tammuz,Sunday,Avot 5,,
274,7 Tammuz,Monday,Parah 1-2,,
275,8 Tammuz,Tuesday,Parah 3-4,,
276,9 Tammuz,Wednesday,Parah 5-6,,
277,10 Tammuz,Thursday,Parah 7-8,,
278,11 Tammuz,Friday,Parah 9-10,,
279,12 Tammuz,Saturday,,Chukat-Balak,
280,13 Tammuz,Sunday,Parah 11-12,,
281,14 Tammuz,Monday,Tamid 1-2,,
282,15 Tammuz,Tuesday,Tamid 3-4,,
283,16 Tammuz,Wednesday,Tamid 5-6,,
284,17 Tammuz,Thursday,Tamid 7,,
285,18 Tammuz,Friday,,,
286,19 Tammuz,Saturday,,Pinhas,
287,20 Tammuz,Sunday,Nedarim 1-2,,
288,21 Tammuz,Monday,Nedarim 3-4,,
289,22 Tammuz,Tuesday,Nedarim 5-6,,
290,23 Tammuz,Wednesday,Nedarim 7-8,,
291,24 Tammuz,Thursday,Nedarim 9-10,,
292,25 Tammuz,Friday,Nedarim 11,,
293,26 Tammuz,Saturday,,Matot-Masei,
294,27 Tammuz,Sunday,Kinnim 1-2,,
295,28 Tammuz,Monday,Kinnim 3,,
296,29 Tammuz,Tuesday,Sanhedrin 1-2,,
297,1 Av,Wednesday,,,
298,2 Av,Thursday,Sanhedrin 3-4,,
299,3 Av,Friday,Sanhedrin 5-6,,
300,4 Av,Saturday,,Devarim,
301,5 Av,Sunday,Sanhedrin 7-8,,
302,6 Av,Monday,Sanhedrin 9-10,,
303,7 Av,Tuesday,Sanhedrin 11,,
304,8 Av,Wednesday,Makkot 1-2,,
305,9 Av,Thursday,Makkot 3,Tish'a B'Av,
306,10 Av,Friday,Shevuot 1-2,,
307,11 Av,Saturday,,Vaetchanan,
308,12 Av,Sunday,Shevuot 3-4,,
309,13 Av,Monday,Shevuot 5-6,,
310,14 Av,Tuesday,Shevuot 7-8,,
311,15 Av,Wednesday,Eduyot 1-2,,
312,16 Av,Thursday,Eduyot 3-4,,
313,17 Av,Friday,Eduyot 5-6,,
314,18 Av,Saturday,,Eikev,
315,19 Av,Sunday,Eduyot 7-8,,
316,20 Av,Monday,Avodah Zarah 1-2,,
317,21 Av,Tuesday,Avodah Zarah 3-4,,
318,22 Av,Wednesday,Avodah Zarah 5,,
319,23 Av,Thursday,Ketubot 1-3,,
320,24 Av,Friday,Ketubot 4-5,,
321,25 Av,Saturday,,Re'eh,
322,26 Av,Sunday,Ketubot 6-7,,
323,27 Av,Monday,Ketubot 8-9,,
324,28 Av,Tuesday,Ketubot 10-11,,
325,29 Av,Wednesday,Ketubot 12-13,,
326,30 Av,Thursday,Gittin 1-2,,
327,1 Elul,Friday,Gittin 3-4,,
328,2 Elul,Saturday,,Shoftim,
329,3 Elul,Sunday,Gittin 5-6,,
330,4 Elul,Monday,Gittin 7-8,,
331,5 Elul,Tuesday,Gittin 9,,
332,6 Elul,Wednesday,Kiddushin 1-2,,
333,7 Elul,Thursday,Kiddushin 3-4,,
334,8 Elul,Friday,,,
335,9 Elul,Saturday,,Ki Teitzei,
336,10 Elul,Sunday,Niddah 1-2,,
337,11 Elul,Monday,Niddah 3-4,,
338,12 Elul,Tuesday,Niddah 5-6,,
339,13 Elul,Wednesday,Niddah 7-8,,
340,14 Elul,Thursday,Niddah 9-10,,
341,15 Elul,Friday,Makshirin 1-2,,
342,16 Elul,Saturday,,Ki Tavo,
343,17 Elul,Sunday,Makshirin 3-4,,
344,18 Elul,Monday,Makshirin 5-6,,
345,19 Elul,Tuesday,Zavim 1-2,,
346,20 Elul,Wednesday,Zavim 3-4,,
347,21 Elul,Thursday,Zavim 5,,
348,22 Elul,Friday,,,
349,23 Elul,Saturday,,Nitzavim-Vayeilech,
350,24 Elul,Sunday,Tevul Yom 1-2,,
351,25 Elul,Monday,Tevul Yom 3-4,,
352,26 Elul,Tuesday,Yadayim 1-2,,
353,27 Elul,Wednesday,Yadayim 3-4,,
354,28 Elul,Thursday,Uktzin 1-2,,
355,29 Elul,Friday,Uktzin 3,,
