Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Thursday,,RH I,
2,2 Tishrei,Friday,,RH II,
3,3 Tishrei,Saturday,,Ha'azinu,
4,4 Tishrei,Sunday,,,
5,5 Tishrei,Monday,,,
6,6 Tishrei,Tuesday,,,
7,7 Tishrei,Wednesday,,,
8,8 Tishrei,Thursday,,,
9,9 Tishrei,Friday,,Erev Yom Kippur,
10,10 Tishrei,Saturday,,YK,
11,11 Tishrei,Sunday,,,
12,12 Tishrei,Monday,,,
13,13 Tishrei,Tuesday,,,
14,14 Tishrei,Wednesday,,Erev Sukkot,
15,15 Tishrei,Thursday,,Sukkot I,
16,16 Tishrei,Friday,,Sukkot II,
17,17 Tishrei,Saturday,,"Sukkot III (CH""M)",
18,18 Tishrei,Sunday,,Sukkot IV,
19,19 Tishrei,Monday,,Sukkot V,
20,20 Tishrei,Tuesday,,Sukkot VI,
21,21 Tishrei,Wednesday,,Sukkot VII/Erev SA,
22,22 Tishrei,Thursday,,SA,
23,23 Tishrei,Friday,,ST,
24,24 Tishrei,Saturday,,Bereshit,
25,25 Tishrei,Sunday,,,
26,26 Tishrei,Monday,,,
27,27 Tishrei,Tuesday,,,
28,28 Tishrei,Wednesday,,,
29,29 Tishrei,Thursday,,,
30,30 Tishrei,Friday,,,
31,1 Marheshvan,Saturday,,Noah,
32,2 Marheshvan,Sunday,,,
33,3 Marheshvan,Monday,,,
34,4 Marheshvan,Tuesday,,,
35,5 Marheshvan,Wednesday,,,
36,6 Marheshvan,Thursday,,,
37,7 Marheshvan,Friday,,,
38,8 Marheshvan,Saturday,,Lekh-Lekha,
39,9 Marheshvan,Sunday,,,
40,10 Marheshvan,Monday,,,
41,11 Marheshvan,Tuesday,,,
42,12 Marheshvan,Wednesday,,,
43,13 Marheshvan,Thursday,,,
44,14 Marheshvan,Friday,,,
45,15 Marheshvan,Saturday,,Vayera,
46,16 Marheshvan,Sunday,,,
47,17 Marheshvan,Monday,,,
48,18 Marheshvan,Tuesday,,,
49,19 Marheshvan,Wednesday,,,
50,20 Marheshvan,Thursday,,,
