Day #,Hebrew Date,Weekday,Schedule,Parsha,Completes
1,1 Tishrei,Thursday,Rosh Hashanah 1-2,RH I,
2,2 Tishrei,Friday,Rosh Hashanah 3-4,RH II,
3,3 Tishrei,Saturday,,Ha'azinu,
4,4 Tishrei,Sunday,Beitzah 1-2,,
5,5 Tishrei,Monday,Beitzah 3-4,,
6,6 Tishrei,Tuesday,Beitzah 5,,
7,7 Tishrei,Wednesday,Yoma 1-3,,
8,8 Tishrei,Thursday,Yoma 4-6,,
9,9 Tishrei,Friday,,Erev Yom Kippur,
10,10 Tishrei,Saturday,Yoma 7-8,YK,
11,11 Tishrei,Sunday,,,
12,12 Tishrei,Monday,Hagigah 1-2,,
13,13 Tishrei,Tuesday,Hagigah 3,,
14,14 Tishrei,Wednesday,,Erev Sukkot,
15,15 Tishrei,Thursday,Sukkah 1-2,Sukkot I,
16,16 Tishrei,Friday,Sukkah 3-4,Sukkot II,
17,17 Tishrei,Saturday,,"Sukkot III (CH""M)",
18,18 Tishrei,Sunday,Sukkah 5,Sukkot IV,
19,19 Tishrei,Monday,Moed Katan 1-2,Sukkot V,
20,20 Tishrei,Tuesday,Moed Katan 3,Sukkot VI,
21,21 Tishrei,Wednesday,,Sukkot VII/Erev SA,
22,22 Tishrei,Thursday,Taanit 1-2,SA,
23,23 Tishrei,Friday,,ST,
24,24 Tishrei,Saturday,,Bereshit,
25,25 Tishrei,Sunday,Taanit 3-4,,
26,26 Tishrei,Monday,Shabbat 1-2,,
27,27 Tishrei,Tuesday,Shabbat 3-4,,
28,28 Tishrei,Wednesday,Shabbat 5-6,,
29,29 Tishrei,Thursday,Shabbat 7-8,,
30,30 Tishrei,Friday,,,
31,1 Marheshvan,Saturday,,Noah,
32,2 Marheshvan,Sunday,Shabbat 9-10,,
33,3 Marheshvan,Monday,Shabbat 11-12,,
34,4 Marheshvan,Tuesday,Shabbat 13-14,,
35,5 Marheshvan,Wednesday,Shabbat 15-16,,
36,6 Marheshvan,Thursday,Shabbat 17-18,,
37,7 Marheshvan,Friday,,,
38,8 Marheshvan,Saturday,,Lekh-Lekha,
39,9 Marheshvan,Sunday,Shabbat 19-20,,
40,10 Marheshvan,Monday,Shabbat 21-22,,
41,11 Marheshvan,Tuesday,Shabbat 23-24,,
42,12 Marheshvan,Wednesday,Eruvin 1-2,,
43,13 Marheshvan,Thursday,Eruvin 3-4,,
44,14 Marheshvan,Friday,Eruvin 5-6,,
45,15 Marheshvan,Saturday,,Vayera,
46,16 Marheshvan,Sunday,Eruvin 7-8,,
47,17 Marheshvan,Monday,Eruvin 9-10,,
48,18 Marheshvan,Tuesday,Berakhot 1-2,,
49,19 Marheshvan,Wednesday,Berakhot 3-4,,
50,20 Marheshvan,Thursday,Berakhot 5-6,,
51,21 Marheshvan,Friday,,,
52,22 Marheshvan,Saturday,,Chayei Sarah,
53,23 Marheshvan,Sunday,Berakhot 7-8,,
54,24 Marheshvan,Monday,Berakhot 9,,
55,25 Marheshvan,Tuesday,Peah 1-2,,
56,26 Marheshvan,Wednesday,Peah 3-4,,
57,27 Marheshvan,Thursday,Peah 5-6,,
58,28 Marheshvan,Friday,Peah 7-8,,
59,29 Marheshvan,Saturday,,Toldot,
60,1 Kislev,Sunday,Demai 1-2,,
61,2 Kislev,Monday,Demai 3-4,,
62,3 Kislev,Tuesday,Demai 5-6,,
63,4 Kislev,Wednesday,Demai 7,,
64,5 Kislev,Thursday,Kilayim 1-2,,
65,6 Kislev,Friday,,,
66,7 Kislev,Saturday,,Vayetzei,
67,8 Kislev,Sunday,Kilayim 3-4,,
68,9 Kislev,Monday,Kilayim 5-6,,
69,10 Kislev,Tuesday,Kilayim 7-8,,
70,11 Kislev,Wednesday,Kilayim 9,,
71,12 Kislev,Thursday,Sheviit 1-2,,
72,13 Kislev,Friday,Sheviit 3-4,,
73,14 Kislev,Saturday,,Vayishlach,
74,15 Kislev,Sunday,Sheviit 5-6,,
75,16 Kislev,Monday,Sheviit 7-8,,
76,17 Kislev,Tuesday,Sheviit 9-10,,
77,18 Kislev,Wednesday,Terumot 1-2,,
78,19 Kislev,Thursday,Terumot 3-4,,
79,20 Kislev,Friday,,,
80,21 Kislev,Saturday,,Vayeshev,
81,22 Kislev,Sunday,Terumot 5-6,,
